symbol,close,mcap_cr,weight
TTKPRESTIG,8883.4,3694.0,0.03
TV18BRDCST,37.95,2602.0,0.02
TVSMOTOR,549.45,12269.0,0.11
TANLA,872.35,6509.0,0.06
TASTYBITE,17760.5,1185.0,0.01
TATACHEM,919.3,14520.0,0.13
TATACOFFEE,203.55,1635.0,0.01
TATACOMM,1391.75,16263.0,0.14
TCS,3775.55,391047.0,3.41
TATACONSUM,813.6,48735.0,0.42
TATAELXSI,5594.05,19161.0,0.17
TATAMTRDVR,189.3,8856.0,0.08
TATAMOTORS,333.35,59769.0,0.52
TATAPOWER,158.75,26885.0,0.23
TATASTLLP,905.3,1095.0,0.01
TATASTEEL,1288.9,100783.0,0.88
TTML,35.35,1797.0,0.02
TEAMLEASE,4488.65,5065.0,0.04
TECHM,1380.6,85682.0,0.75
NIACL,163.2,4034.0,0.04
RAMCOCEM,984.65,12548.0,0.11
THERMAX,1359.7,5347.0,0.05
THYROCARE,1166.2,2097.0,0.02
TIMKEN,1694.95,4080.0,0.04
TITAN,2161.85,90205.0,0.79
TORNTPHARM,3085.5,15142.0,0.13
TORNTPOWER,505.05,8496.0,0.07
TRENT,1025.85,22975.0,0.2
TRIDENT,28.0,3567.0,0.03
TRITURBINE,159.45,1650.0,0.01
TIINDIA,1396.85,13737.0,0.12
UCOBANK,13.65,816.0,0.01
UFLEX,540.9,1601.0,0.01
UPL,707.7,38931.0,0.34
UTIAMC,1066.95,4195.0,0.04
UJJIVAN,155.7,1894.0,0.02
UJJIVANSFB,21.1,620.0,0.01
ULTRACEMCO,7396.1,85398.0,0.74
UNIONBANK,36.25,4212.0,0.04
UBL,1571.5,11219.0,0.1
MCDOWELL-N,853.1,25416.0,0.22
VGUARD,257.95,4439.0,0.04
VMART,3549.3,3712.0,0.03
VIPIND,506.6,3366.0,0.03
VAIBHAVGBL,699.5,3545.0,0.03
VAKRANGEE,40.5,2446.0,0.02
VALIANTORG,1395.95,2198.0,0.02
VTL,1852.4,3952.0,0.03
VARROC,300.35,1147.0,0.01
VBL,897.6,13215.0,0.12
VEDL,287.65,37424.0,0.33
VENKEYS,2937.2,1365.0,0.01
VINATIORGA,1938.05,5179.0,0.05
IDEA,11.9,9575.0,0.08
VOLTAS,1218.05,28212.0,0.25
WABCOINDIA,7281.65,3453.0,0.03
WELCORP,144.85,1890.0,0.02
WELSPUNIND,169.3,5018.0,0.04
WESTLIFE,566.3,3883.0,0.03
WHIRLPOOL,2284.95,7247.0,0.06
WIPRO,634.1,93817.0,0.82
WOCKPHARMA,454.75,1512.0,0.01
YESBANK,12.55,16036.0,0.14
ZEEL,303.2,27958.0,0.24
ZENSARTECH,477.8,4207.0,0.04
ZYDUSWELL,2366.6,3614.0,0.03
ECLERX,2164.05,3322.0,0.03
