trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi,num_trades,notional_lakh,traded_value_inr,avg_trade_inr,our_share_of_traded
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-17,wpe_long,24200,149.3,7631,70825,4964.0,4643724086.25,74055040.0,14918.0,0.0004
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-18,ce_short,25350,61.95,3179,30150,2019.0,2019889381.25,12801038.0,6340.0,0.0036
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-18,pe_short,24350,336.95,12038,42425,7621.0,7419989603.75,263653266.0,34596.0,0.0001
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-18,wce_long,25500,51.55,14001,195975,5132.0,8944066000.0,46913851.0,9141.0,0.0008
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-18,wpe_long,24200,262.6,25985,86825,16246.0,15885497305.0,443537965.0,27301.0,0.0001
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-19,ce_short,25350,27.2,1881,27825,890.0,1193462240.0,3325608.0,3737.0,0.0139
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-19,pe_short,24350,514.6,612,41075,284.0,380881682.5,20470788.0,72080.0,0.0017
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-19,wce_long,25500,21.95,17908,180750,6989.0,11427991838.75,25550239.0,3656.0,0.0014
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-19,wpe_long,24200,412.85,5052,57275,3114.0,3113793087.5,135571683.0,43536.0,0.0002
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-20,ce_short,25350,14.55,725,28800,282.0,459798887.5,685669.0,2431.0,0.0673
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-20,pe_short,24350,781.1,279,39375,169.0,174297085.0,14165248.0,83818.0,0.0024
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-20,wce_long,25500,12.55,29558,251650,12813.0,18854269323.75,24111938.0,1882.0,0.0015
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-20,wpe_long,24200,667.15,2432,55350,1819.0,1502469455.0,105463072.0,57979.0,0.0003
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-23,ce_short,25350,6.8,1570,28050,729.0,995311968.75,693940.0,952.0,0.0665
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-23,pe_short,24350,559.95,154,38550,79.0,96017160.0,5605100.0,70951.0,0.0061
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-23,wce_long,25500,5.95,50210,294875,14948.0,32018314863.75,19418718.0,1299.0,0.0018
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-23,wpe_long,24200,441.75,1352,56750,712.0,832419895.0,38820990.0,54524.0,0.0007
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-24,ce_short,25350,2.6,2542,21625,728.0,1611231752.5,429598.0,590.0,0.1075
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-24,pe_short,24350,564.7,41,38350,27.0,25530201.25,1504926.0,55738.0,0.0229
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-24,wce_long,25500,2.5,36330,456075,8463.0,23163601207.5,5903625.0,698.0,0.006
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-24,wpe_long,24200,416.5,380,55000,298.0,234046390.0,10287550.0,34522.0,0.0026
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-26,ce_short,25350,1.1,3903,23675,1163.0,2473706480.0,279064.0,240.0,0.1654
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-26,pe_short,24350,592.0,169,38650,83.0,105010145.0,6503120.0,78351.0,0.0053
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-26,wce_long,25500,1.0,43191,539275,6594.0,27535748590.0,2807415.0,426.0,0.0126
13,FINNIFTY,2024-12-16,2024-12-31,2024-12-26,wpe_long,24200,422.25,1460,56900,788.0,896999058.75,40071525.0,50852.0,0.0007
