Date,Open,High,Low,Close,Volume
2024-10-09 04:00:00,45.34,45.79,45.0,45.16,1065621.0
2024-10-10 04:00:00,45.37,45.49,44.91,44.97,883729.0
2024-10-11 04:00:00,45.3,45.69,44.77,45.41,1033920.0
2024-10-14 04:00:00,45.43,45.74,44.6,44.83,1082180.0
2024-10-15 04:00:00,45.0,45.25,43.2,44.06,1717368.0
2024-10-16 04:00:00,44.4,44.4,43.5,43.74,1367223.0
2024-10-17 04:00:00,43.95,43.95,42.62,42.74,1467552.0
2024-10-18 04:00:00,42.7,43.59,42.18,43.23,1405524.0
2024-10-21 04:00:00,43.23,43.34,41.65,42.01,2032111.0
2024-10-22 04:00:00,42.0,42.17,39.63,39.95,3674286.0
2024-10-23 04:00:00,40.0,41.85,39.13,41.43,2518472.0
2024-10-24 04:00:00,41.49,41.84,40.64,41.07,1475965.0
2024-10-25 04:00:00,40.9,40.9,38.69,39.13,3105943.0
2024-10-28 04:00:00,39.51,39.99,38.8,39.7,1850100.0
2024-10-29 04:00:00,39.99,39.99,39.18,39.97,1169739.0
2024-10-30 04:00:00,40.2,40.89,39.82,40.71,1958290.0
2024-10-31 04:00:00,40.97,41.8,40.66,41.43,974789.0
2024-11-01 04:00:00,42.25,42.46,41.86,42.34,336906.0
2024-11-04 04:00:00,42.98,42.98,40.66,41.18,1693121.0
2024-11-05 04:00:00,41.18,41.5,40.76,41.4,1223719.0
2024-11-06 04:00:00,41.7,42.0,40.95,41.81,1009076.0
2024-11-07 04:00:00,42.3,42.96,41.9,42.2,1315640.0
2024-11-08 04:00:00,42.19,42.2,40.75,40.85,1370489.0
2024-11-11 04:00:00,36.36,39.76,36.36,39.55,3776100.0
2024-11-12 04:00:00,39.55,39.65,37.49,37.83,3104624.0
2024-11-13 04:00:00,37.88,37.94,34.91,35.2,4386489.0
2024-11-14 04:00:00,35.43,36.8,35.43,36.22,1693925.0
2024-11-18 04:00:00,36.21,36.57,35.47,35.94,1577717.0
2024-11-19 04:00:00,36.01,36.65,35.2,35.37,1974727.0
2024-11-21 04:00:00,35.78,35.78,34.65,34.95,1109397.0
2024-11-22 04:00:00,35.19,36.29,34.81,36.15,1402328.0
2024-11-25 04:00:00,36.76,36.96,36.06,36.25,995690.0
2024-11-26 04:00:00,36.29,36.66,35.76,35.93,987631.0
2024-11-27 04:00:00,35.85,36.17,35.5,35.67,1925538.0
2024-11-28 04:00:00,35.89,36.27,35.52,35.69,2267405.0
2024-11-29 04:00:00,35.8,36.2,35.63,35.92,1417575.0
2024-12-02 04:00:00,35.43,35.7,35.14,35.4,2725647.0
2024-12-03 04:00:00,35.5,36.03,35.25,35.31,2562302.0
2024-12-04 04:00:00,35.55,36.1,35.44,35.89,2279127.0
2024-12-05 04:00:00,36.25,36.87,35.36,35.77,3098836.0
2024-12-06 04:00:00,35.95,37.17,35.63,36.81,3146676.0
2024-12-09 04:00:00,37.0,37.19,36.0,36.17,2541067.0
2024-12-10 04:00:00,36.7,39.4,36.53,38.42,14437363.0
2024-12-11 04:00:00,38.3,38.66,37.49,38.34,3020180.0
2024-12-12 04:00:00,38.45,38.86,37.63,37.82,1768071.0
2024-12-13 04:00:00,37.7,37.72,36.8,37.46,1246630.0
2024-12-16 04:00:00,37.4,37.78,36.79,37.04,1531826.0
2024-12-17 04:00:00,36.99,37.4,36.15,36.39,2104980.0
2024-12-18 04:00:00,36.39,36.45,35.8,35.89,1202877.0
2024-12-19 04:00:00,35.49,36.52,35.26,36.29,1107695.0
2024-12-20 04:00:00,36.3,36.69,35.16,35.35,1246176.0
2024-12-23 04:00:00,35.36,35.6,34.91,35.05,1152688.0
2024-12-24 04:00:00,35.08,35.64,34.87,35.01,1250212.0
2024-12-26 04:00:00,35.07,35.32,34.75,34.96,971378.0
2024-12-27 04:00:00,34.95,35.1,34.5,34.53,1318650.0
2024-12-30 04:00:00,35.55,35.8,34.3,34.45,2458913.0
2024-12-31 04:00:00,34.78,34.78,33.95,33.99,2217466.0
2025-01-01 04:00:00,34.0,34.54,33.95,34.4,1173854.0
